"","POSITION","COMPANY","TICKER","WEIGHT"
"1",1,"Apple Inc.","AAPL",0.06182741
"2",2,"Microsoft Corporation","MSFT",0.05633106
"3",3,"Amazon.com Inc.","AMZN",0.02362942
"4",4,"Berkshire Hathaway Inc. Class B","BRK-B",0.0170047
"5",5,"Alphabet Inc. Class A","GOOGL",0.01661709
"6",6,"UnitedHealth Group Incorporated","UNH",0.01519014
"7",7,"Alphabet Inc. Class C","GOOG",0.01483129
"8",8,"Johnson & Johnson","JNJ",0.01436915
"9",9,"Exxon Mobil Corporation","XOM",0.01373141
"10",10,"NVIDIA Corporation","NVDA",0.0125306
"11",11,"JPMorgan Chase & Co.","JPM",0.01198008
"12",12,"Tesla Inc","TSLA",0.01155902
"13",13,"Procter & Gamble Company","PG",0.01114268
"14",14,"Visa Inc. Class A","V",0.01049331
"15",15,"Home Depot Inc.","HD",0.01006709
"16",16,"Chevron Corporation","CVX",0.00959963
"17",17,"Mastercard Incorporated Class A","MA",0.0091031
"18",18,"Pfizer Inc.","PFE",0.00900287
"19",19,"AbbVie Inc.","ABBV",0.00887495
"20",20,"Eli Lilly and Company","LLY",0.00886395
"21",21,"Merck & Co. Inc.","MRK",0.00869294
"22",22,"Meta Platforms Inc. Class A","META",0.0082285
"23",23,"PepsiCo Inc.","PEP",0.007803
"24",24,"Coca-Cola Company","KO",0.00763739
"25",25,"Bank of America Corp","BAC",0.00702135
"26",26,"Broadcom Inc.","AVGO",0.00688584
"27",27,"Thermo Fisher Scientific Inc.","TMO",0.00647771
"28",28,"Walmart Inc.","WMT",0.00635388
"29",29,"Costco Wholesale Corporation","COST",0.00633272
"30",30,"McDonald's Corporation","MCD",0.00611574
"31",31,"Cisco Systems Inc.","CSCO",0.00607847
"32",32,"Abbott Laboratories","ABT",0.0058006
"33",33,"Danaher Corporation","DHR",0.00523342
"34",34,"NextEra Energy Inc.","NEE",0.0051868
"35",35,"Accenture Plc Class A","ACN",0.00515063
"36",36,"Linde plc","LIN",0.00508207
"37",37,"Walt Disney Company","DIS",0.00495785
"38",38,"Adobe Incorporated","ADBE",0.00492941
"39",39,"Philip Morris International Inc.","PM",0.00488923
"40",40,"Wells Fargo & Company","WFC",0.00488009
"41",41,"Verizon Communications Inc.","VZ",0.004855
"42",42,"Bristol-Myers Squibb Company","BMY",0.00482515
"43",43,"Texas Instruments Incorporated","TXN",0.00472637
"44",44,"Comcast Corporation Class A","CMCSA",0.00463913
"45",45,"Raytheon Technologies Corporation","RTX",0.00451474
"46",46,"Honeywell International Inc.","HON",0.0044372
"47",47,"Amgen Inc.","AMGN",0.00441069
"48",48,"ConocoPhillips","COP",0.00438681
"49",49,"NIKE Inc. Class B","NKE",0.00406157
"50",50,"AT&T Inc.","T",0.00402476
"51",51,"Salesforce Inc.","CRM",0.00401429
"52",52,"Netflix Inc.","NFLX",0.00400806
"53",53,"International Business Machines Corporation","IBM",0.00399196
"54",54,"United Parcel Service Inc. Class B","UPS",0.00395245
"55",55,"Union Pacific Corporation","UNP",0.00394668
"56",56,"QUALCOMM Incorporated","QCOM",0.0039206
"57",57,"CVS Health Corporation","CVS",0.00390106
"58",58,"Lowe's Companies Inc.","LOW",0.00389631
"59",59,"Oracle Corporation","ORCL",0.00388741
"60",60,"Caterpillar Inc.","CAT",0.00382424
"61",61,"Charles Schwab Corp","SCHW",0.00378329
"62",62,"Elevance Health Inc.","ELV",0.00377268
